Date,Open,Close,High,Low,Volume
2022-08-18,260.74,265.73,265.82,260.74,20949.0
2022-08-21,263.11,266.25,269.21,263.11,31362.0
2022-08-22,269.21,266.25,269.21,262.44,25229.0
2022-08-23,270.82,265.65,270.82,264.97,30406.0
2022-08-24,268.36,267.85,270.9,265.82,31119.0
2022-08-25,269.21,265.82,269.89,265.82,17316.0
2022-08-26,269.21,265.73,269.21,261.59,9821.0
2022-08-28,261.59,260.31,264.04,259.22,34529.0
2022-08-29,259.9,261.59,262.35,256.09,30416.0
2022-08-30,265.82,262.35,266.58,260.74,10439.0
2022-08-31,261.59,259.05,261.59,257.35,19550.0
2022-09-01,260.74,258.2,260.74,254.82,10423.0
2022-09-02,258.2,256.5,259.81,255.66,8095.0
2022-09-04,253.97,258.2,263.28,253.97,12502.0
2022-09-05,259.81,258.03,260.74,256.93,28283.0
2022-09-06,257.35,255.74,259.05,254.9,20720.0
2022-09-07,257.35,256.42,260.74,253.97,40668.0
2022-09-08,257.35,253.97,257.35,253.12,21601.0
2022-09-11,254.82,253.12,257.35,252.28,29688.0
2022-09-12,253.97,251.43,253.97,250.58,17417.0
2022-09-13,255.66,256.42,258.03,252.45,30382.0
2022-09-14,261.33,260.66,262.35,253.97,37309.0
2022-09-15,260.74,256.0,260.74,253.97,30099.0
2022-09-16,253.97,253.97,254.82,250.58,18589.0
2022-09-18,254.39,250.75,254.39,249.73,98169.0
2022-09-20,250.58,245.08,251.26,244.74,45540.0
2022-09-21,245.5,246.35,247.2,242.11,19076.0
2022-09-22,250.41,247.2,250.41,245.5,14458.0
2022-09-25,249.73,244.15,249.73,243.81,23090.0
2022-09-27,247.2,247.2,249.73,243.9,10062.0
2022-09-28,252.02,248.47,252.28,248.21,10620.0
2022-09-29,253.12,253.12,254.82,251.43,9288.0
2022-10-09,257.35,264.12,265.82,253.97,21632.0
2022-10-10,264.97,259.05,264.97,258.2,16331.0
2022-10-11,259.05,256.09,259.05,252.28,20829.0
2022-10-12,260.74,254.82,260.74,253.97,14361.0
2022-10-13,258.2,256.5,258.2,251.43,28177.0
2022-10-16,258.2,255.66,259.05,252.53,13737.0
2022-10-17,251.51,258.63,259.9,250.58,14845.0
2022-10-19,258.2,258.2,260.57,255.66,16552.0
2022-10-20,260.74,257.35,260.74,253.97,33948.0
2022-10-23,262.44,259.05,262.44,256.5,9620.0
2022-10-31,256.5,260.74,260.74,253.97,28940.0
2022-11-01,260.74,273.35,274.54,258.46,39435.0
2022-11-02,274.29,274.29,279.36,269.3,39206.0
2022-11-03,271.74,271.32,275.9,270.9,32484.0
2022-11-06,270.9,275.05,275.13,269.63,31875.0
2022-11-07,275.3,272.76,278.51,272.76,36450.0
2022-11-08,273.02,272.93,274.29,272.0,11675.0
2022-11-09,270.06,268.36,275.13,267.51,38815.0
2022-11-10,266.67,268.28,271.74,266.67,24007.0
2022-11-13,269.21,269.21,270.06,267.77,19783.0
2022-11-14,267.51,271.07,275.13,266.67,21171.0
2022-11-15,274.29,274.88,276.4,271.74,13086.0
2022-11-16,275.22,275.98,275.98,270.22,13385.0
2022-11-17,281.06,275.81,281.49,274.29,20871.0
2022-11-22,278.35,275.05,281.06,272.59,7665.0
2022-11-23,274.29,270.9,274.29,270.06,12798.0
2022-11-24,268.87,273.44,274.29,268.87,14644.0
2022-11-27,270.06,276.74,276.74,270.06,27015.0
2022-11-28,275.98,270.9,275.98,269.3,20091.0
2022-11-29,268.61,272.59,275.13,268.45,18771.0
2022-11-30,268.53,272.0,275.81,268.53,15363.0
2022-12-01,275.13,275.05,275.9,271.74,23546.0
2022-12-04,274.29,274.29,275.98,272.59,19156.0
2022-12-05,272.59,273.44,275.13,271.83,22538.0
2022-12-06,270.9,269.97,272.59,268.78,21203.0
2022-12-07,275.13,270.9,276.66,270.48,48314.0
2022-12-11,270.9,266.41,270.9,266.41,27738.0
2022-12-12,270.9,265.4,270.9,263.28,19031.0
2022-12-13,264.12,261.75,267.09,261.59,16711.0
2022-12-14,261.59,262.44,266.16,261.59,12596.0
2022-12-15,260.74,262.44,265.73,260.74,10417.0
2022-12-18,263.28,259.05,263.28,256.5,25221.0
2022-12-19,264.12,259.05,264.12,255.66,9779.0
2022-12-20,259.05,259.9,262.44,257.35,18497.0
2022-12-21,264.12,261.92,264.12,260.74,21412.0
2022-12-22,264.97,262.44,266.25,261.59,21070.0
2022-12-26,267.69,272.59,272.59,263.36,45037.0
2022-12-27,278.01,286.98,289.1,275.98,188077.0
2022-12-28,292.38,280.95,292.38,280.95,57656.0
2022-12-29,280.95,287.62,288.57,280.0,47602.0
2023-01-01,287.62,282.86,289.62,281.9,45032.0
2023-01-02,285.71,283.14,287.62,282.86,35179.0
2023-01-03,285.71,283.81,287.62,281.9,40533.0
2023-01-04,285.71,288.57,288.57,282.95,56117.0
2023-01-05,289.52,285.71,294.29,284.76,59839.0
2023-01-08,291.33,284.57,291.43,283.05,73011.0
2023-01-09,284.57,297.05,298.1,280.29,157341.0
2023-01-10,300.86,301.43,312.38,297.33,162300.0
2023-01-12,307.43,292.86,313.33,292.38,66655.0
2023-01-17,297.14,292.19,297.14,289.52,41879.0
2023-01-18,295.24,286.0,296.19,285.71,76324.0
2023-01-19,290.48,288.67,294.29,285.81,38806.0
2023-01-23,291.43,283.81,291.43,283.81,81426.0
2023-01-24,283.81,288.57,289.52,280.0,36850.0
2023-01-25,288.57,283.81,288.57,283.33,41590.0
2023-01-26,283.81,281.9,285.71,280.95,24605.0
2023-01-29,282.86,280.0,283.62,279.05,37470.0
2023-01-30,278.1,277.14,282.86,276.19,38924.0
2023-01-31,279.05,273.33,279.05,266.95,29481.0
2023-02-01,269.52,272.38,276.19,269.52,16740.0
2023-02-02,276.19,269.52,277.81,268.57,29054.0
2023-02-05,271.43,273.24,274.29,267.71,27135.0
2023-02-06,273.33,272.38,277.14,269.52,17015.0
2023-02-07,277.14,278.95,279.05,266.95,44167.0
2023-02-08,278.1,280.0,286.38,278.1,39167.0
2023-02-09,276.19,279.05,282.86,275.33,17629.0
2023-02-12,276.19,274.29,276.19,271.9,43901.0
2023-02-14,279.71,270.95,279.71,269.14,36246.0
2023-02-15,276.0,268.1,276.0,266.67,77441.0
2023-02-16,267.62,268.57,270.48,266.0,16450.0
2023-02-20,273.33,265.71,273.33,261.33,35722.0
2023-02-22,264.76,268.1,271.43,262.0,14796.0
2023-02-23,265.71,264.76,266.67,262.86,27494.0
2023-02-26,261.9,264.76,265.71,256.48,28986.0
2023-02-27,266.67,260.95,266.67,260.0,26425.0
2023-02-28,265.9,262.86,270.38,260.95,17271.0
2023-03-01,263.81,260.95,265.62,260.57,13859.0
2023-03-02,260.95,258.95,260.95,258.38,18230.0
2023-03-05,260.0,255.24,260.0,254.48,23407.0
2023-03-07,254.1,255.24,259.05,254.0,15079.0
2023-03-09,260.0,262.86,262.86,256.0,20835.0
2023-03-12,267.52,260.0,267.52,260.0,19792.0
2023-03-13,257.62,257.05,258.1,253.62,16534.0
2023-03-14,261.9,260.0,262.29,256.67,17595.0
2023-03-15,264.76,255.24,265.14,252.57,35518.0
2023-03-16,260.0,250.48,260.0,247.62,63161.0
2023-03-19,245.52,248.57,254.29,242.86,67933.0
2023-03-20,248.57,242.86,249.52,242.67,50613.0
2023-03-22,240.0,247.81,251.52,240.0,40712.0
2023-03-23,251.43,268.48,272.57,244.57,299272.0
2023-03-26,264.76,251.43,264.76,250.48,69960.0
2023-03-27,246.48,251.33,251.43,242.86,78691.0
2023-03-28,252.38,247.62,254.29,245.71,36853.0
2023-03-29,247.62,249.43,251.43,243.62,33096.0
2023-03-30,252.38,246.67,253.14,245.9,25527.0
2023-04-02,246.67,242.95,250.48,242.86,35022.0
2023-04-03,242.86,239.05,243.71,238.86,36721.0
2023-04-04,243.81,239.05,243.81,236.19,36951.0
2023-04-05,239.05,243.81,243.81,234.29,38398.0
2023-04-06,247.62,241.9,247.62,240.0,31382.0
2023-04-09,244.76,238.0,244.76,236.19,38543.0
2023-04-10,240.95,238.1,241.71,235.71,27027.0
2023-04-11,241.9,240.48,241.9,237.14,59409.0
2023-04-12,244.76,252.38,252.57,242.95,43283.0
2023-04-13,257.14,246.67,257.14,245.81,25194.0
2023-04-16,251.43,247.62,251.43,242.95,17957.0
2023-04-17,249.52,244.76,251.43,244.48,10251.0
2023-04-18,240.95,241.71,248.38,239.9,13500.0
2023-04-19,246.0,246.95,247.62,240.29,10532.0
2023-04-20,242.86,240.86,242.86,238.1,36548.0
2023-04-23,243.81,239.9,243.81,236.1,21696.0
2023-04-24,236.19,237.14,242.86,235.24,23096.0
2023-04-25,238.1,240.95,241.43,236.19,15782.0
2023-04-26,242.86,237.14,242.86,237.14,15567.0
2023-04-27,236.19,238.1,240.86,236.19,14490.0
2023-04-30,239.05,234.38,240.0,234.29,26875.0
2023-05-02,235.24,233.33,238.1,232.57,23752.0
2023-05-03,238.0,234.29,238.0,230.57,25430.0
2023-05-04,238.57,238.1,241.9,230.67,18343.0
2023-05-07,238.1,238.29,240.0,234.29,15310.0
2023-05-08,235.24,233.24,238.1,232.67,18757.0
2023-05-09,233.33,236.29,237.14,230.48,21098.0
2023-05-10,236.29,235.24,240.0,233.24,20724.0
2023-05-11,234.76,234.29,235.14,231.43,11435.0
2023-05-14,236.67,234.29,238.1,232.38,16467.0
2023-05-15,234.29,233.33,235.24,230.1,13345.0
2023-05-16,236.19,232.38,236.19,231.52,15831.0
2023-05-17,235.14,235.71,236.1,232.38,18809.0
2023-05-18,233.33,238.1,244.19,233.33,21139.0
2023-05-21,234.29,238.1,241.9,234.29,33405.0
2023-05-22,237.14,240.0,241.43,237.14,23595.0
2023-05-23,242.67,242.48,244.76,240.0,32277.0
2023-05-24,246.67,243.71,247.14,238.48,27972.0
2023-05-28,244.29,240.0,248.57,240.0,43631.0
2023-05-30,238.1,233.33,240.0,231.43,34123.0
2023-05-31,233.33,230.48,234.29,230.0,23639.0
2023-06-01,235.05,231.43,235.05,228.67,35976.0
2023-06-04,228.57,237.14,240.67,226.95,30232.0
2023-06-05,238.1,232.57,240.0,232.48,23381.0
2023-06-06,230.48,236.1,236.19,229.71,16459.0
