Date,Open,Close,High,Low,Volume,company
2024-08-07,191.5,199.0,201.0,191.5,123645.0,
2024-08-08,200.0,198.0,204.0,197.0,161592.0,
2024-08-11,201.9,217.8,217.8,199.0,566497.0,
2024-08-12,222.1,239.5,239.5,222.1,336436.0,
2024-08-13,244.2,246.7,263.1,243.0,387268.0,
2024-08-14,251.6,258.0,267.0,234.0,411687.0,
2024-08-15,263.1,268.0,272.0,254.8,465244.0,
2024-08-18,273.0,257.0,274.9,253.0,301997.0,
2024-08-21,258.0,248.0,263.0,246.0,206933.0,
2024-08-22,243.1,246.1,254.0,240.1,206443.0,
2024-08-25,245.0,235.0,249.0,234.5,201737.0,
2024-08-27,239.7,219.0,239.7,218.0,220961.0,
2024-08-28,220.3,226.5,236.5,220.0,203630.0,
2024-08-29,231.0,227.0,231.0,221.5,103699.0,
2024-09-01,226.9,218.0,229.0,217.4,104307.0,
2024-09-02,214.0,237.0,239.0,214.0,172402.0,
2024-09-03,240.0,238.0,246.1,236.0,128659.0,
2024-09-04,242.7,228.9,242.7,225.0,96600.0,
2024-09-05,225.0,223.0,228.3,219.4,88795.0,
2024-09-08,223.0,221.0,227.4,220.6,37848.0,
2024-09-09,222.0,214.0,222.0,212.0,73571.0,
2024-09-10,216.2,213.5,222.0,210.8,66546.0,
2024-09-11,217.7,208.2,217.7,208.0,68401.0,
2024-09-12,208.2,224.0,228.0,208.2,70592.0,
2024-09-15,226.4,215.9,231.5,214.0,81711.0,
2024-09-16,211.7,210.0,215.8,208.0,83837.0,
2024-09-18,211.0,207.1,213.0,204.0,48995.0,
2024-09-22,210.0,207.1,218.0,206.0,51364.0,
2024-09-23,207.1,202.0,209.0,200.0,71356.0,
2024-09-24,200.0,194.9,205.8,194.0,85666.0,
2024-09-25,194.0,198.8,201.0,190.1,65725.0,
2024-09-26,200.0,195.0,202.7,194.0,41287.0,
2024-09-29,192.0,190.0,195.0,187.6,37641.0,
2024-09-30,189.0,192.5,193.7,187.2,10567.0,
2024-10-01,194.5,209.9,211.0,194.5,99634.0,
2024-10-02,214.0,205.1,219.0,204.0,72104.0,
2024-10-06,205.0,213.0,213.0,200.9,53687.0,
2024-10-07,213.0,216.0,220.0,213.0,48479.0,
2024-10-08,216.0,212.0,219.0,210.0,22498.0,
2024-10-09,210.9,213.0,215.0,208.0,27678.0,
2024-10-09,210.9,213.0,215.0,208.0,27678.0,
2024-10-15,214.0,215.0,216.0,212.0,11650.0,
2024-10-16,217.3,223.9,226.0,216.0,90364.0,
2024-10-17,225.0,220.0,228.0,219.5,58750.0,
2024-10-20,215.6,213.0,218.7,212.0,71155.0,
2024-10-21,214.0,208.4,214.0,206.5,54420.0,
2024-10-22,208.0,212.0,212.9,208.0,36446.0,
2024-10-23,216.2,209.0,216.2,208.3,21494.0,
2024-10-24,207.0,208.0,210.0,207.0,32801.0,
2024-10-27,212.1,207.5,212.1,206.0,23299.0,
2024-10-28,209.0,210.8,210.9,208.0,17676.0,
2024-10-29,213.0,216.5,217.0,210.0,51681.0,
2024-10-30,217.1,213.0,217.1,213.0,26786.0,
2024-11-05,217.0,211.5,217.0,211.5,12667.0,
2024-11-06,211.5,212.0,214.5,210.2,15665.0,
2024-11-10,215.0,225.0,225.8,213.0,151269.0,
2024-11-11,220.5,223.9,233.0,220.5,85636.0,
2024-11-12,219.5,212.9,219.5,201.6,1198640.0,
2024-11-13,211.0,210.0,214.0,209.0,352575.0,
2024-11-14,213.0,211.1,214.0,210.1,266665.0,
2024-11-17,214.0,214.8,221.8,213.0,427283.0,
2024-11-19,218.0,211.5,218.0,211.1,365848.0,
2024-11-20,211.5,215.0,217.8,209.7,330973.0,
2024-11-21,215.0,211.1,217.5,211.0,217582.0,
2024-11-24,214.9,207.1,214.9,207.1,205456.0,
2024-11-25,211.0,207.5,211.0,207.0,154709.0,
2024-11-26,211.6,212.0,215.8,209.0,183777.0,
2024-11-27,214.9,213.0,215.0,212.0,190062.0,
2024-11-28,214.0,211.0,215.0,210.5,172989.0,
2024-12-01,209.0,208.0,210.0,206.8,184503.0,
2024-12-02,212.0,212.0,217.0,207.8,441372.0,
2024-12-03,207.8,213.0,216.1,207.8,254549.0,
2024-12-04,216.0,223.8,229.0,213.7,1195984.0,
2024-12-05,219.5,217.0,227.0,216.0,487617.0,
2024-12-08,221.0,212.0,221.0,210.0,307817.0,
2024-12-09,212.0,212.0,215.0,209.1,191382.0,
2024-12-10,212.0,209.0,213.0,208.5,182351.0,
2024-12-11,209.0,215.0,215.9,208.5,168471.0,
2024-12-12,219.3,209.5,219.3,209.0,195728.0,
2024-12-16,212.0,205.0,212.0,204.1,263179.0,
2024-12-17,205.0,205.0,208.0,203.0,141139.0,
2024-12-18,205.0,203.9,209.0,203.0,106487.0,
2024-12-19,203.0,201.0,205.0,200.1,154454.0,
2024-12-22,201.0,198.2,203.0,197.0,137289.0,
2024-12-23,198.3,200.5,202.0,196.0,133575.0,
2024-12-24,203.0,202.1,205.5,201.3,136707.0,
2024-12-26,202.0,200.1,203.5,199.0,84210.0,
2024-12-29,203.0,197.0,203.0,196.5,124123.0,
2024-12-31,196.0,194.0,197.0,189.0,197677.0,
2025-01-01,194.0,194.0,195.8,192.0,81368.0,
2025-01-02,195.0,194.4,195.4,192.5,87500.0,
2025-01-05,198.2,195.5,198.2,192.3,71237.0,
2025-01-06,199.0,204.0,205.0,195.3,223201.0,
2025-01-07,204.0,203.0,207.7,202.0,155370.0,
2025-01-08,207.0,202.5,207.0,202.0,106640.0,
2025-01-09,201.7,201.0,204.0,199.2,150227.0,
2025-01-12,204.0,199.0,204.0,197.5,82392.0,
2025-01-13,200.0,196.5,200.0,196.2,91436.0,
2025-01-15,199.0,195.0,199.0,195.0,80172.0,
2025-01-16,195.0,194.5,197.9,194.0,106960.0,
2025-01-19,192.2,197.0,197.9,192.2,89771.0,
2025-01-20,197.0,196.5,199.0,196.5,99894.0,
2025-01-21,197.0,194.5,198.6,194.3,86047.0,
2025-01-22,197.0,199.5,202.0,195.0,165835.0,
2025-01-23,203.4,196.0,203.4,196.0,103499.0,
2025-01-26,196.0,197.0,200.9,196.0,98720.0,
2025-01-27,198.1,195.0,199.0,194.2,149756.0,
2025-01-28,196.0,197.0,198.0,195.0,123350.0,
